Date,股票代码,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2020-01-02,600570,32.69,32.96,33.19,32.33,175683,1391068896.0,2.67,2.23,0.72,2.19
2020-01-03,600570,32.84,32.79,33.32,32.37,163653,1297846416.0,2.88,-0.52,-0.17,2.04
2020-01-06,600570,32.48,33.2,33.66,32.36,210236,1680557040.0,3.96,1.25,0.41,2.62
2020-01-07,600570,33.22,33.87,34.26,32.91,227288,1842082752.0,4.07,2.02,0.67,2.83
2020-01-08,600570,33.53,33.58,34.46,33.42,230314,1883892448.0,3.07,-0.86,-0.29,2.87
2020-01-09,600570,34.04,34.07,34.88,33.91,179525,1483708768.0,2.89,1.46,0.49,2.24
2020-01-10,600570,34.43,33.78,34.6,33.62,130013,1063580048.0,2.88,-0.85,-0.29,1.62
2020-01-13,600570,33.6,34.24,34.36,33.36,158667,1293772768.0,2.96,1.36,0.46,1.98
2020-01-14,600570,34.57,33.87,34.66,33.83,125122,1030659616.0,2.42,-1.08,-0.37,1.56
2020-01-15,600570,33.77,34.63,34.66,33.67,179759,1487650912.0,2.92,2.24,0.76,2.24
2020-01-16,600570,34.76,34.74,35.04,34.25,170847,1426120112.0,2.28,0.32,0.11,2.13
2020-01-17,600570,35.04,36.32,36.7,34.81,296268,2563584848.0,5.44,4.55,1.58,3.69
2020-01-20,600570,37.43,36.33,37.61,35.39,289745,2530100000.0,6.11,0.03,0.01,3.61
2020-01-21,600570,36.23,36.48,37.19,36.07,203083,1791153248.0,3.08,0.41,0.15,2.53
2020-01-22,600570,36.39,38.37,38.83,36.16,266181,2400166864.0,7.32,5.18,1.89,3.31
2020-01-23,600570,37.9,36.87,38.85,36.11,288501,2597837824.0,7.14,-3.91,-1.5,3.59
2020-02-03,600570,33.12,33.12,33.41,33.12,200184,1599369424.0,0.79,-10.17,-3.75,2.49
2020-02-04,600570,33.12,34.47,34.74,33.12,311948,2563659280.0,4.89,4.08,1.35,3.88
2020-02-05,600570,34.49,34.42,35.6,34.04,281927,2360178288.0,4.53,-0.15,-0.05,3.51
2020-02-06,600570,34.63,36.6,37.05,34.3,327193,2821220272.0,7.99,6.33,2.18,4.07
2020-02-07,600570,36.37,37.96,38.23,36.21,276806,2490344976.0,5.52,3.72,1.36,3.45
2020-02-10,600570,37.97,39.2,41.18,37.77,304454,2886061216.0,8.98,3.27,1.24,3.79
2020-02-11,600570,39.19,38.94,39.85,38.41,194752,1832289184.0,3.67,-0.66,-0.26,2.42
2020-02-12,600570,38.97,40.74,41.17,38.86,263363,2549977840.0,5.93,4.62,1.8,3.28
2020-02-13,600570,40.85,39.98,41.62,39.87,214805,2085978416.0,4.3,-1.87,-0.76,2.67
2020-02-14,600570,39.76,39.87,41.48,39.28,232035,2245798688.0,5.5,-0.28,-0.11,2.89
2020-02-17,600570,40.89,41.02,41.21,40.18,221540,2170572544.0,2.58,2.88,1.15,2.76
2020-02-18,600570,40.8,41.22,41.29,40.58,156761,1539859120.0,1.73,0.49,0.2,1.95
2020-02-19,600570,41.14,40.15,41.18,40.12,211709,2063060816.0,2.57,-2.6,-1.07,2.64
2020-02-20,600570,40.39,43.72,44.23,40.3,435686,4451374336.0,9.79,8.89,3.57,5.42
2020-02-21,600570,42.97,42.98,44.21,42.63,309554,3208625776.0,3.61,-1.69,-0.74,3.85
2020-02-24,600570,42.38,42.71,43.66,42.02,252705,2598968560.0,3.82,-0.63,-0.27,3.15
2020-02-25,600570,41.65,42.3,42.82,40.37,277496,2781005808.0,5.74,-0.96,-0.41,3.46
2020-02-26,600570,41.57,39.54,41.86,39.44,326645,3174561920.0,5.72,-6.52,-2.76,4.07
2020-02-27,600570,40.14,42.03,43.55,40.14,387240,3868296992.0,8.62,6.3,2.49,4.82
2020-02-28,600570,41.19,40.04,41.86,39.93,302334,2961852224.0,4.59,-4.73,-1.99,3.76
2020-03-02,600570,40.59,40.8,41.78,39.57,255229,2505293152.0,5.52,1.9,0.76,3.18
2020-03-03,600570,41.65,43.15,44.95,41.65,453683,4758206208.0,8.09,5.76,2.35,5.65
2020-03-04,600570,42.96,42.83,44.1,41.24,254260,2611352416.0,6.63,-0.74,-0.32,3.17
2020-03-05,600570,43.63,42.0,43.97,41.23,269626,2734598272.0,6.4,-1.94,-0.83,3.36
2020-03-06,600570,41.14,40.99,41.94,40.86,137330,1360390512.0,2.57,-2.4,-1.01,1.71
2020-03-09,600570,39.87,37.9,39.87,37.71,332827,3095323296.0,5.27,-7.54,-3.09,4.14
2020-03-10,600570,37.85,40.2,40.27,37.85,267181,2514638480.0,6.39,6.07,2.3,3.33
2020-03-11,600570,40.29,38.94,40.51,38.85,150006,1424508112.0,4.13,-3.13,-1.26,1.87
2020-03-12,600570,37.66,37.92,38.61,37.3,194671,1770926672.0,3.36,-2.62,-1.02,2.42
2020-03-13,600570,35.9,38.18,38.56,35.31,234582,2100314880.0,8.57,0.69,0.26,2.92
2020-03-16,600570,38.18,35.31,38.18,35.01,262898,2304730960.0,8.3,-7.52,-2.87,3.27
2020-03-17,600570,35.94,36.16,36.71,34.68,238243,2061743152.0,5.75,2.41,0.85,2.97
2020-03-18,600570,36.7,36.1,37.92,35.72,212321,1890828624.0,6.08,-0.17,-0.06,2.64
2020-03-19,600570,36.25,36.66,37.3,35.34,203155,1778642880.0,5.43,1.55,0.56,2.53
2020-03-20,600570,37.17,36.95,37.42,36.18,135124,1196376608.0,3.38,0.79,0.29,1.68
2020-03-23,600570,35.65,34.83,36.15,34.68,174495,1481568272.0,3.98,-5.74,-2.12,2.17
2020-03-24,600570,35.86,36.26,36.26,35.12,183987,1588531360.0,3.27,4.11,1.43,2.29
2020-03-25,600570,37.19,37.23,37.79,36.96,163053,1465277376.0,2.29,2.68,0.97,2.03
2020-03-26,600570,36.83,37.2,37.76,36.72,114886,1032941408.0,2.79,-0.08,-0.03,1.43
2020-03-27,600570,37.74,37.02,37.83,37.02,100067,901565920.0,2.18,-0.48,-0.18,1.25
2020-03-30,600570,36.32,36.45,36.94,35.82,105623,920830480.0,3.03,-1.54,-0.57,1.32
2020-03-31,600570,37.08,36.54,37.3,36.49,84920,753399600.0,2.22,0.25,0.09,1.06
2020-04-01,600570,36.42,36.06,37.17,35.94,95731,842508608.0,3.37,-1.31,-0.48,1.19
2020-04-02,600570,35.99,37.3,37.3,35.87,117781,1035783104.0,3.97,3.44,1.24,1.47
2020-04-03,600570,37.01,36.66,37.21,36.58,82528,731840512.0,1.69,-1.72,-0.64,1.03
2020-04-07,600570,37.85,38.41,38.85,37.68,176322,1628628592.0,3.19,4.77,1.75,2.2
2020-04-08,600570,38.28,38.23,38.82,38.06,95975,886145504.0,1.98,-0.47,-0.18,1.19
2020-04-09,600570,38.61,38.91,39.73,38.59,125858,1183244512.0,2.98,1.78,0.68,1.57
2020-04-10,600570,38.91,37.88,38.91,37.56,104785,961062000.0,3.47,-2.65,-1.03,1.3
2020-04-13,600570,37.38,37.43,38.05,37.08,77959,702581248.0,2.56,-1.19,-0.45,0.97
2020-04-14,600570,37.83,38.29,38.32,37.68,92065,841398496.0,1.71,2.3,0.86,1.15
2020-04-15,600570,38.61,38.18,38.95,38.15,107358,993512080.0,2.09,-0.29,-0.11,1.34
2020-04-16,600570,38.02,38.98,39.27,37.7,145381,1345214400.0,4.11,2.1,0.8,1.81
2020-04-17,600570,39.52,39.63,40.46,39.5,202041,1942175008.0,2.46,1.67,0.65,2.52
2020-04-20,600570,39.54,40.31,40.66,39.54,118329,1141630048.0,2.83,1.72,0.68,1.47
2020-04-21,600570,40.16,39.81,40.32,39.39,85388,816781888.0,2.31,-1.24,-0.5,1.06
2020-04-22,600570,39.45,40.0,40.13,39.35,70984,678084000.0,1.96,0.48,0.19,0.88
2020-04-23,600570,40.1,39.6,40.36,39.55,58602,560902608.0,2.03,-1.0,-0.4,0.73
2020-04-24,600570,39.65,39.41,39.87,39.16,61196,580179632.0,1.79,-0.48,-0.19,0.76
2020-04-27,600570,40.41,41.65,42.28,40.4,248832,2480015088.0,4.77,5.68,2.24,3.1
2020-04-28,600570,40.81,42.0,42.96,40.35,220879,2209208320.0,6.27,0.84,0.35,2.75
2020-04-29,600570,42.0,41.42,42.15,41.23,76399,764089632.0,2.19,-1.38,-0.58,0.95
2020-04-30,600570,41.69,42.75,43.51,41.69,139850,1442294016.0,4.39,3.21,1.33,1.74
2020-05-06,600570,42.41,43.29,43.55,42.18,118816,1225152960.0,3.2,1.26,0.54,1.48
2020-05-07,600570,43.34,42.92,43.71,42.47,86175,888243728.0,2.86,-0.85,-0.37,1.07
2020-05-08,600570,43.34,43.08,44.32,42.96,98927,1035935664.0,3.17,0.37,0.16,1.23
2020-05-11,600570,43.64,42.7,43.93,42.18,97173,1000311040.0,4.06,-0.88,-0.38,1.21
2020-05-12,600570,42.7,43.54,43.67,42.44,87749,909304464.0,2.88,1.97,0.84,1.09
2020-05-13,600570,43.34,43.76,43.86,42.96,71043,741328480.0,2.07,0.51,0.22,0.88
2020-05-14,600570,43.56,43.61,44.27,43.34,68932,723305392.0,2.13,-0.34,-0.15,0.86
2020-05-15,600570,43.81,43.44,44.56,43.36,83840,882404288.0,2.75,-0.39,-0.17,1.04
2020-05-18,600570,43.42,43.3,43.74,42.49,92623,960424512.0,2.88,-0.32,-0.14,1.15
2020-05-19,600570,44.18,45.2,45.7,43.89,176014,1905091072.0,4.18,4.39,1.9,2.19
2020-05-20,600570,45.24,45.01,46.09,44.69,109076,1186732768.0,3.1,-0.42,-0.19,1.36
2020-05-21,600570,45.03,43.22,45.24,42.83,137758,1453582592.0,5.35,-3.98,-1.79,1.72
2020-05-22,600570,43.34,42.79,44.1,42.44,104534,1082508528.0,3.84,-0.99,-0.43,1.3
2020-05-25,600570,42.79,42.65,43.1,41.82,78392,797915696.0,2.99,-0.33,-0.14,0.98
2020-05-26,600570,43.09,43.89,44.09,43.04,89912,943308848.0,2.46,2.91,1.24,1.12
2020-05-27,600570,43.89,43.29,44.27,43.23,62861,660342224.0,2.37,-1.37,-0.6,0.78
2020-05-28,600570,44.06,43.41,45.24,43.37,138700,1471673168.0,4.32,0.28,0.12,1.73
2020-05-29,600570,43.47,43.89,44.37,43.04,103397,1084013312.0,3.06,1.11,0.48,1.29
2020-06-01,600570,46.09,46.45,46.91,45.24,179365,1990935760.0,3.8,5.83,2.56,2.23
2020-06-02,600570,46.46,45.66,46.72,45.55,81990,901339520.0,2.52,-1.7,-0.79,1.02
2020-06-03,600570,46.03,45.5,46.45,45.16,90360,989529008.0,2.83,-0.35,-0.16,1.13
2020-06-04,600570,45.88,45.5,45.91,44.73,65028,706786208.0,2.59,0.0,0.0,0.81
2020-06-05,600570,45.76,45.69,45.98,44.47,134560,1112373216.0,3.32,0.42,0.19,1.29
2020-06-08,600570,45.77,46.6,47.18,45.76,174100,1486806544.0,3.11,1.99,0.91,1.67
2020-06-09,600570,46.64,46.86,47.31,46.3,107806,926459952.0,2.17,0.56,0.26,1.03
2020-06-10,600570,46.89,48.68,49.2,46.86,176773,1566794768.0,4.99,3.88,1.82,1.69
2020-06-11,600570,48.68,50.11,51.13,48.54,179867,1654659040.0,5.32,2.94,1.43,1.72
2020-06-12,600570,49.11,49.62,50.92,49.08,169266,1559984304.0,3.67,-0.98,-0.49,1.62
2020-06-15,600570,49.81,50.58,51.48,49.81,175933,1640637888.0,3.37,1.93,0.96,1.69
2020-06-16,600570,51.62,51.39,51.89,50.92,115907,1092011936.0,1.92,1.6,0.81,1.11
2020-06-17,600570,51.64,52.0,52.19,50.92,116874,1103472800.0,2.47,1.19,0.61,1.12
2020-06-18,600570,51.97,50.87,52.31,49.06,221586,2055577440.0,6.25,-2.17,-1.13,2.12
2020-06-19,600570,51.08,51.64,52.3,50.95,166301,1581118432.0,2.65,1.51,0.77,1.59
2020-06-22,600570,52.14,53.64,54.26,51.81,179246,1749395232.0,4.74,3.87,2.0,1.72
2020-06-23,600570,53.17,56.2,56.69,52.94,202623,2039126352.0,6.99,4.77,2.56,1.94
2020-06-24,600570,55.93,56.73,57.27,55.66,138681,1433731520.0,2.86,0.94,0.53,1.33
2020-06-29,600570,57.99,56.62,58.29,55.54,161173,1668261568.0,4.85,-0.19,-0.11,1.54
2020-06-30,600570,56.75,58.78,60.6,56.67,251524,2702390000.0,6.94,3.81,2.16,2.41
2020-07-01,600570,58.58,58.39,59.31,56.53,186231,1983250352.0,4.73,-0.66,-0.39,1.78
2020-07-02,600570,58.27,56.89,58.4,56.37,244786,2563498400.0,3.48,-2.57,-1.5,2.34
2020-07-03,600570,56.32,57.82,58.39,55.93,225513,2366921888.0,4.32,1.63,0.93,2.16
2020-07-06,600570,58.29,62.03,62.78,58.29,291184,3255318976.0,7.77,7.28,4.21,2.79
2020-07-07,600570,62.79,63.89,65.68,62.79,267492,3168249136.0,4.66,3.0,1.86,2.56
2020-07-08,600570,64.04,65.82,66.76,63.2,213849,2550201472.0,5.57,3.02,1.93,2.05
2020-07-09,600570,65.54,65.26,66.86,64.99,219509,2644870816.0,2.84,-0.85,-0.56,2.1
2020-07-10,600570,64.44,63.95,65.0,63.08,205063,2403696208.0,2.94,-2.01,-1.31,1.96
2020-07-13,600570,63.73,64.83,65.36,63.67,181595,2150532160.0,2.64,1.38,0.88,1.74
2020-07-14,600570,64.45,63.36,64.82,61.77,224001,2594741488.0,4.7,-2.27,-1.47,2.15
2020-07-15,600570,64.17,63.07,65.42,62.79,199260,2343114048.0,4.15,-0.46,-0.29,1.91
2020-07-16,600570,63.78,58.29,65.26,58.09,354534,3982514800.0,11.37,-7.58,-4.78,3.4
2020-07-17,600570,57.86,56.39,59.43,54.22,346403,3611655120.0,8.94,-3.26,-1.9,3.32
2020-07-20,600570,58.6,58.07,58.72,56.04,198755,2096422368.0,4.75,2.98,1.68,1.9
2020-07-21,600570,63.34,58.59,63.34,57.34,520648,5744684032.0,10.33,0.9,0.52,4.99
2020-07-22,600570,56.92,58.47,60.1,56.92,272432,2922748816.0,5.43,-0.2,-0.12,2.61
2020-07-23,600570,57.42,57.79,59.27,56.26,238343,2520393488.0,5.15,-1.16,-0.68,2.28
2020-07-24,600570,57.62,55.82,58.87,55.09,268173,2807914256.0,6.54,-3.41,-1.97,2.57
2020-07-27,600570,56.11,57.85,58.33,55.89,201349,2122234496.0,4.37,3.64,2.03,1.93
2020-07-28,600570,59.11,58.13,59.59,57.46,138679,1477128800.0,3.68,0.48,0.28,1.33
2020-07-29,600570,57.36,59.69,59.82,57.34,190208,2064154496.0,4.27,2.68,1.56,1.82
2020-07-30,600570,59.72,58.46,60.01,58.34,143159,1546022016.0,2.8,-2.06,-1.23,1.37
2020-07-31,600570,58.23,59.79,60.87,58.23,171091,1873044912.0,4.52,2.28,1.33,1.64
2020-08-03,600570,60.05,60.03,60.31,59.22,151817,1663795232.0,1.82,0.4,0.24,1.45
2020-08-04,600570,60.43,58.92,60.48,58.58,146376,1589020480.0,3.17,-1.85,-1.11,1.4
2020-08-05,600570,59.56,60.36,60.92,58.95,167674,1850371392.0,3.34,2.44,1.44,1.61
2020-08-06,600570,60.16,60.14,60.36,59.05,122315,1336508320.0,2.17,-0.36,-0.22,1.17
2020-08-07,600570,60.14,57.95,60.32,56.36,182476,1939466080.0,6.58,-3.64,-2.19,1.75
2020-08-10,600570,57.33,56.99,57.9,55.65,149718,1555749616.0,3.88,-1.66,-0.96,1.43
2020-08-11,600570,57.36,55.75,57.85,55.65,127461,1328085280.0,3.86,-2.18,-1.24,1.22
2020-08-12,600570,55.65,53.81,55.65,52.63,233548,2305187984.0,5.42,-3.48,-1.94,2.24
2020-08-13,600570,55.03,54.36,55.95,54.2,121798,1223192640.0,3.25,1.02,0.55,1.17
2020-08-14,600570,54.86,56.26,56.48,54.18,139223,1415984080.0,4.23,3.5,1.9,1.33
2020-08-17,600570,57.03,56.86,58.29,56.81,170856,1800079568.0,2.63,1.07,0.6,1.64
2020-08-18,600570,56.65,57.33,57.4,56.23,121101,1261155200.0,2.06,0.83,0.47,1.16
2020-08-19,600570,56.94,55.34,57.12,55.1,116838,1192318640.0,3.52,-3.47,-1.99,1.12
2020-08-20,600570,54.45,55.16,55.82,54.14,87303,882025520.0,3.04,-0.33,-0.18,0.84
2020-08-21,600570,54.61,54.89,55.77,54.39,113199,1139994064.0,2.5,-0.49,-0.27,1.08
2020-08-24,600570,55.1,56.14,56.76,55.1,116744,1202575968.0,3.02,2.28,1.25,1.12
2020-08-25,600570,56.08,58.41,59.83,56.04,237558,2556096736.0,6.75,4.04,2.27,2.28
2020-08-26,600570,59.32,58.18,59.87,57.58,158090,1702508704.0,3.92,-0.39,-0.23,1.51
2020-08-27,600570,57.85,59.25,60.13,57.85,176524,1919201312.0,3.92,1.84,1.07,1.69
2020-08-28,600570,59.29,62.38,62.52,58.54,220558,2458075888.0,6.72,5.28,3.13,2.11
2020-08-31,600570,62.52,60.84,62.79,60.64,156862,1766927360.0,3.45,-2.47,-1.54,1.5
2020-09-01,600570,60.88,60.93,61.69,60.39,103204,1153199248.0,2.14,0.15,0.09,0.99
2020-09-02,600570,61.01,60.31,61.42,60.05,97415,1079894576.0,2.25,-1.02,-0.62,0.93
2020-09-03,600570,60.31,59.5,60.6,59.25,88816,973105072.0,2.24,-1.34,-0.81,0.85
2020-09-04,600570,58.27,58.12,58.94,57.34,135888,1443141216.0,2.69,-2.32,-1.38,1.3
2020-09-07,600570,57.96,56.15,58.78,56.03,132255,1391971056.0,4.73,-3.39,-1.97,1.27
2020-09-08,600570,56.74,56.49,57.31,55.65,92254,955224224.0,2.96,0.61,0.34,0.88
2020-09-09,600570,55.65,55.02,56.22,54.29,105949,1072903344.0,3.42,-2.6,-1.47,1.01
2020-09-10,600570,55.24,55.12,56.73,54.92,100194,1026479568.0,3.29,0.18,0.1,0.96
2020-09-11,600570,55.14,55.33,55.87,54.17,91652,925722112.0,3.08,0.38,0.21,0.88
2020-09-14,600570,55.68,55.76,55.93,54.92,76491,778296336.0,1.83,0.78,0.43,0.73
2020-09-15,600570,55.7,54.83,55.87,53.98,114142,1142800864.0,3.39,-1.67,-0.93,1.09
2020-09-16,600570,54.61,51.83,54.83,51.38,255138,2453798096.0,6.29,-5.47,-3.0,2.44
2020-09-17,600570,52.08,52.28,52.89,50.13,157139,1485785552.0,5.33,0.87,0.45,1.51
2020-09-18,600570,52.23,54.26,54.55,51.92,140712,1375452912.0,5.03,3.79,1.98,1.35
2020-09-21,600570,54.55,53.77,54.81,53.39,102459,1012701056.0,2.62,-0.9,-0.49,0.98
2020-09-22,600570,53.4,53.55,54.55,53.23,67316,664910736.0,2.45,-0.41,-0.22,0.64
2020-09-23,600570,53.55,53.51,53.94,52.63,75259,736332608.0,2.45,-0.07,-0.04,0.72
2020-09-24,600570,53.45,52.28,53.45,52.08,73529,708181888.0,2.56,-2.3,-1.23,0.7
2020-09-25,600570,52.9,53.15,53.56,52.57,63924,622922400.0,1.89,1.66,0.87,0.61
2020-09-28,600570,53.55,53.69,55.05,53.45,74762,740079584.0,3.01,1.02,0.54,0.72
2020-09-29,600570,54.34,53.69,54.79,53.62,70120,695978864.0,2.18,0.0,0.0,0.67
2020-09-30,600570,53.73,53.78,54.19,53.33,62244,613852592.0,1.6,0.17,0.09,0.6
2020-10-09,600570,54.64,54.57,55.47,54.28,92827,931560960.0,2.21,1.47,0.79,0.89
2020-10-12,600570,54.98,56.33,56.42,54.98,152754,1564486320.0,2.64,3.23,1.76,1.46
2020-10-13,600570,56.12,57.25,57.29,55.88,105968,1097940352.0,2.5,1.63,0.92,1.01
2020-10-14,600570,56.75,54.83,56.92,54.55,122701,1249636800.0,4.14,-4.23,-2.42,1.18
2020-10-15,600570,54.55,52.69,54.82,50.16,423467,4000616480.0,8.5,-3.9,-2.14,4.06
2020-10-16,600570,52.19,52.75,53.06,51.75,125167,1204179328.0,2.49,0.11,0.06,1.2
2020-10-19,600570,52.93,52.36,54.07,52.03,94619,919521760.0,3.87,-0.74,-0.39,0.91
2020-10-20,600570,52.36,52.78,52.97,51.96,56182,542712992.0,1.93,0.8,0.42,0.54
2020-10-21,600570,52.9,52.37,53.07,52.13,67476,648777792.0,1.78,-0.78,-0.41,0.65
2020-10-22,600570,52.25,53.26,53.77,51.56,112800,1098114176.0,4.22,1.7,0.89,1.08
2020-10-23,600570,53.2,52.01,54.15,51.81,96202,933044256.0,4.39,-2.35,-1.25,0.92
2020-10-26,600570,52.0,49.58,52.0,49.04,219183,2002985360.0,5.69,-4.67,-2.43,2.1
2020-10-27,600570,49.62,49.76,49.94,48.95,103871,943040496.0,2.0,0.36,0.18,0.99
2020-10-28,600570,49.99,50.76,51.06,49.28,126104,1160765440.0,3.58,2.01,1.0,1.21
2020-10-29,600570,49.88,49.96,50.37,49.27,98352,900090160.0,2.17,-1.58,-0.8,0.94
2020-10-30,600570,49.61,50.67,51.8,48.95,209087,1939210800.0,5.7,1.42,0.71,2.0
2020-11-02,600570,50.27,47.96,50.35,46.47,353243,3108437840.0,7.66,-5.35,-2.71,3.38
2020-11-03,600570,47.96,49.25,49.32,47.18,183229,1629445312.0,4.46,2.69,1.29,1.75
2020-11-04,600570,47.41,48.01,49.0,46.78,182546,1612289936.0,4.51,-2.52,-1.24,1.75
2020-11-05,600570,48.78,50.79,51.14,48.23,270233,2472491776.0,6.06,5.79,2.78,2.59
2020-11-06,600570,51.66,50.49,51.81,50.08,127255,1186614288.0,3.41,-0.59,-0.3,1.22
2020-11-09,600570,50.8,51.31,52.23,50.49,171617,1617236688.0,3.45,1.62,0.82,1.64
2020-11-10,600570,51.29,51.62,52.28,51.11,119929,1138960384.0,2.28,0.6,0.31,1.15
2020-11-11,600570,51.42,48.6,51.45,48.39,199239,1799836544.0,5.93,-5.85,-3.02,1.91
2020-11-12,600570,48.6,48.44,49.17,48.4,81080,724759200.0,1.58,-0.33,-0.16,0.78
2020-11-13,600570,48.17,48.33,48.93,47.69,79961,709789600.0,2.56,-0.23,-0.11,0.77
2020-11-16,600570,48.38,51.04,51.37,47.89,180794,1659117184.0,7.2,5.61,2.71,1.73
2020-11-17,600570,51.15,50.57,51.8,50.16,117683,1099804688.0,3.21,-0.92,-0.47,1.13
2020-11-18,600570,50.15,49.22,50.43,49.06,97742,886935504.0,2.71,-2.67,-1.35,0.94
2020-11-19,600570,48.83,50.27,50.39,48.51,78416,715270528.0,3.82,2.13,1.05,0.75
2020-11-20,600570,50.16,49.44,50.43,49.19,85406,776443072.0,2.47,-1.65,-0.83,0.82
2020-11-23,600570,49.44,49.08,49.77,48.95,101720,919780752.0,1.66,-0.73,-0.36,0.97
2020-11-24,600570,49.08,48.06,49.08,47.94,117600,1042261312.0,2.32,-2.08,-1.02,1.13
2020-11-25,600570,48.04,46.58,48.34,46.52,135443,1172365024.0,3.79,-3.08,-1.48,1.3
2020-11-26,600570,46.48,46.54,46.85,45.48,110496,936992592.0,2.94,-0.09,-0.04,1.06
2020-11-27,600570,46.59,46.72,47.41,46.07,77855,667648480.0,2.88,0.39,0.18,0.75
2020-11-30,600570,47.18,48.2,49.11,46.96,188944,1671421728.0,4.6,3.17,1.48,1.81
2020-12-01,600570,47.96,49.14,49.22,47.52,119538,1063465376.0,3.53,1.95,0.94,1.14
2020-12-02,600570,49.17,49.43,49.98,48.97,132609,1204599984.0,2.06,0.59,0.29,1.27
2020-12-03,600570,50.04,50.81,51.07,49.76,136402,1268733184.0,2.65,2.79,1.38,1.31
2020-12-04,600570,50.71,51.42,51.44,50.16,103958,972273120.0,2.52,1.2,0.61,1.0
2020-12-07,600570,51.39,52.84,53.17,51.26,161906,1562946800.0,3.71,2.76,1.42,1.55
2020-12-08,600570,53.26,53.54,54.53,52.19,151749,1487759360.0,4.43,1.32,0.7,1.45
2020-12-09,600570,55.08,55.91,57.59,55.05,316072,3272753984.0,4.74,4.43,2.37,3.03
2020-12-10,600570,55.6,55.98,56.56,54.73,133020,1360892208.0,3.27,0.13,0.07,1.27
2020-12-11,600570,56.44,54.55,56.61,54.55,146269,1482557808.0,3.68,-2.55,-1.43,1.4
2020-12-14,600570,55.11,55.84,56.36,54.94,108730,1110026128.0,2.6,2.36,1.29,1.04
2020-12-15,600570,55.64,55.26,56.25,54.92,91934,936508592.0,2.38,-1.04,-0.58,0.88
2020-12-16,600570,55.05,54.71,55.94,54.53,93991,949656240.0,2.55,-1.0,-0.55,0.9
2020-12-17,600570,55.2,55.21,55.92,53.88,106154,1068938304.0,3.73,0.91,0.5,1.02
2020-12-18,600570,55.65,55.32,55.89,54.83,74886,758003952.0,1.92,0.2,0.11,0.72
2020-12-21,600570,54.97,54.55,55.65,53.33,110254,1101207840.0,4.19,-1.39,-0.77,1.06
2020-12-22,600570,54.55,52.25,54.99,52.25,143889,1410525424.0,5.02,-4.22,-2.3,1.38
2020-12-23,600570,53.16,53.63,53.99,52.11,95867,933650016.0,3.6,2.64,1.38,0.92
2020-12-24,600570,52.96,50.08,53.25,49.67,185409,1737377296.0,6.68,-6.62,-3.55,1.78
2020-12-25,600570,49.88,51.26,51.47,49.62,117118,1090185936.0,3.69,2.36,1.18,1.12
2020-12-28,600570,51.53,50.71,52.58,50.65,111290,1051233920.0,3.77,-1.07,-0.55,1.07
